HP 62 | 2 Ink Cartridges | Black, Tri-color | C2P04AN, C2P06AN;4.0;https://m.media-amazon.com/images/I/71FYP5NGTGL._AC_UY218_ML3_.jpg;Lorem Ipsums simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industrys standard dummy text ever since the 1500s
AmazonBasics Nylon Braided Lightning to USB A Cable, MFi Certified iPhone Charger, Dark Grey, 6 Foot;4.2;https://m.media-amazon.com/images/I/71s6BRnLADL._AC_UY218_ML3_.jpg;Lorem Ipsums simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industrys standard dummy text ever since the 1500s
Logitech MK345 Wireless Combo – Full-sized Keyboard with Palm Rest and Comfortable Right-Handed Mouse;4.0;https://m.media-amazon.com/images/I/71QCEkBQlIL._AC_UY218_ML3_.jpg;Lorem Ipsums simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industrys standard dummy text ever since the 1500s
HP 65 | 2 Ink Cartridges | Black, Tri-color | N9K01AN, N9K02AN;4.1;https://m.media-amazon.com/images/I/81Yj7gokiFL._AC_UY218_ML3_.jpg;Lorem Ipsums simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industrys standard dummy text ever since the 1500s
VicTsing MM057 2.4G Wireless Mouse Portable Mobile Optical Mouse with USB Receiver, 5 Adjustable DPI Levels, 6 Buttons for Notebook, PC, Laptop, Computer, Macbook - Black;4.4;https://m.media-amazon.com/images/I/718i4jG9n2L._AC_UY218_ML3_.jpg;Lorem Ipsums simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industrys standard dummy text ever since the 1500s
NETGEAR Nighthawk Smart WiFi Router (R6700) - AC1750 Wireless Speed (up to 1750 Mbps) | Up to 1500 sq ft Coverage & 25 Devices | 4 x 1G Ethernet and 1 x 3.0 USB ports | Armor Security;4.2;https://m.media-amazon.com/images/I/61FA9BbugzL._AC_UY218_ML3_.jpg;Lorem Ipsums simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industrys standard dummy text ever since the 1500s
HP 952XL | Ink Cartridge | Black | F6U19AN;4.3;https://m.media-amazon.com/images/I/81RKPkYjODL._AC_UY218_ML3_.jpg;Lorem Ipsums simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industrys standard dummy text ever since the 1500s
TP-Link | N300 WiFi Range Extender | Up to 300Mbps | WiFi Extender, Repeater, Wifi Signal Booster, Access Point | Easy Set-Up | External Antennas & Compact Designed Internet Booster (TL-WA855RE);3.8;https://m.media-amazon.com/images/I/71skCbgkerL._AC_UY218_ML3_.jpg;Lorem Ipsums simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industrys standard dummy text ever since the 1500s
"Dell S Series Led-Lit Monitor 32"" Black (S3219D), QHD 2560 X 1440, 60Hz, 99% sRGB, 16: 9, AMD FreeSync, 2 x 5W Speakers, 2 x HDMI 1.4, DP 1.2, USB 3.0";4.5;https://m.media-amazon.com/images/I/71gaFnan6SL._AC_UY218_ML3_.jpg;Lorem Ipsums simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industrys standard dummy text ever since the 1500s
Apple TV 4K (32GB, Latest Model);4.4;https://m.media-amazon.com/images/I/51Y-Dulc3bL._AC_UY218_ML3_.jpg;Lorem Ipsums simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industrys standard dummy text ever since the 1500s
HP 902XL | Ink Cartridge | Black | T6M14AN;3.5;https://m.media-amazon.com/images/I/71dKwuUo9QL._AC_UY218_ML3_.jpg;Lorem Ipsums simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industrys standard dummy text ever since the 1500s
Brother Genuine Cartridge TN760 High Yield Black Toner;4.0;https://m.media-amazon.com/images/I/81GTMpUdVHL._AC_UY218_ML3_.jpg;Lorem Ipsums simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industrys standard dummy text ever since the 1500s
HP 952 | 3 Ink Cartridges | Cyan, Magenta, Yellow | L0S49AN, L0S52AN, L0S55AN;4.4;https://m.media-amazon.com/images/I/71NfTWFiYBL._AC_UY218_ML3_.jpg;Lorem Ipsums simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industrys standard dummy text ever since the 1500s
AmazonBasics 6-Outlet Surge Protector Power Strip 2-Pack, 2-Foot Long Cord, 200 Joule - Black;4.5;https://m.media-amazon.com/images/I/81H-dmOxbBL._AC_UY218_ML3_.jpg;Lorem Ipsums simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industrys standard dummy text ever since the 1500s
HP 951 | 3 Ink Cartridges | Cyan, Magenta, Yellow | CN050AN, CN051AN, CN052AN;4.1;https://m.media-amazon.com/images/I/71cmgtVdKUL._AC_UY218_ML3_.jpg;Lorem Ipsums simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industrys standard dummy text ever since the 1500s
NETGEAR WiFi Range Extender EX2700 - Coverage up to 600 sq.ft. and 10 devices with N300 Wireless Signal Booster & Repeater (up to 300Mbps speed), and Compact Wall Plug Design;3.9;https://m.media-amazon.com/images/I/51Bq5gmIOiL._AC_UY218_ML3_.jpg;Lorem Ipsums simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industrys standard dummy text ever since the 1500s
